Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,Normal low,Normal high,Allow decimals,Display precision,_version:1,_order:17,Data class,Data type,Answers
0aa71035-4d8b-414a-a8bd-00058de36706,,Y. pestis,,,,,,,,,,LabTest,Numeric,
05ff4c11-478a-4ff9-8ba2-3f3a50b5b663,,Rifampicin Resistant TB,,,,,,,,,,LabTest,Numeric,
2c9c18e1-f941-407e-b2f1-7d7a891e1962,,MDR TB,,,,,,,,,,LabTest,Numeric,
af3a1d87-7604-4614-81e7-1203f75a4aed,,PAP smear,,,,,,,,,,LabTest,Numeric,
014e388b-01c2-4949-9d78-345fa220e6eb,,Touch preparations,,,,,,,,,,LabTest,Numeric,
e21846eb-74b5-4ed5-ae99-8d49314a8fe7,,Tissue impressions,,,,,,,,,,LabTest,Numeric,
db7694ae-a7dd-49ea-9148-24ac43dbcfbe,,"Lymph nodes,LabTest",Lymph nodes,,,,,,,,,LabTest,Numeric,
0731bb76-e4aa-4e42-86a9-163bd2550903,,Liver,,,,,,,,,,LabTest,Numeric,
61d460c3-bc2c-4cc0-ae75-d7cd93c66131,,Breast,,,,,,,,,,LabTest,Numeric,
f5b900c4-cd2a-4997-b5d9-d495b7c76ed7,,Soft tissue masses,,,,,,,,,,LabTest,Numeric,
6daefe30-971f-45f2-a8eb-af11a20d93f4,,Prostrate,,,,,,,,,,LabTest,Numeric,
bcd131f6-3bf2-4af5-88ef-22fd955bee39,,Breast tissue,,,,,,,,,,LabTest,Numeric,
847dea2b-acf7-4011-9bcd-971288de3375,,Ovary,,,,,,,,,,LabTest,Numeric,
53cebb17-de53-469f-915d-be7ebcce04bf,,Uterus (Cervix),,,,,,,,,,LabTest,Numeric,
256059f8-f998-4465-b2a7-366a7e762136,,Uterus (Endometrium),,,,,,,,,,LabTest,Numeric,
99275560-caa0-463d-b5b3-75cee2eefc5f,,Head and Neck,,,,,,,,,,LabTest,Numeric,
dafe5ff7-824e-4775-a558-e8098ad89855,,"Oral,LabTest",,,,,,,,,,LabTest,Numeric,
d348e512-e51c-46f6-83ab-6da54c5d243f,,Esophagus,,,,,,,,,,LabTest,Numeric,
aa718a84-24db-47c3-b707-bba421d074c1,,Colorectal,,,,,,,,,,LabTest,Numeric,
6091293d-af96-49fc-9c71-89545a518182,,Hepatobiliary,,,,,,,,,,LabTest,Numeric,
286d5d1f-04d7-430c-8568-2df3ba6d19d2,,Soft tissue and bone,,,,,,,,,,LabTest,Numeric,
fd29aec7-d7a9-4fbd-8b14-856ce389795c,,Lymph nodes tissue,,,,,,,,,,LabTest,Numeric,
9aa8f86b-81e7-40a7-9d59-54d005aacbc3,,TNM Stage,,,,,,,,,,LabTest,Numeric,
b1f3240a-4d3d-498e-b88b-00b2743a871d,,Trephine biopsy,,,,,,,,,,LabTest,Numeric,
1a083d73-b3f5-4fc6-bdf9-9aef8ceee10c,,Malignant,,,,,,,,,,LabTest,Numeric,
c8ac9577-05e2-4f96-8807-1f1cd6baf918,,ASOT,,,,,,,,,,LabTest,Numeric,
094dcd12-a48a-42d8-b0f7-21b8174183f2,,Brucella,,,,,,,,,,LabTest,Numeric,
1b7d3835-7005-400b-a15f-8550e685d3d8,,Rheumatoid factor,,,,,,,,,,LabTest,Numeric,
0dd8db24-f569-4dfa-952f-4586f8e7957b,,Helicobacter pylori,,,,,,,,,,LabTest,Numeric,
93dd2705-5e05-4ecd-9d6b-599e10c0ceff,,Hepatitis A test,,,,,,,,,,LabTest,Numeric,
5efa5b9a-866a-40e9-9e72-750e41ce0919,,Hepatitis B test,,,,,,,,,,LabTest,Numeric,
453b77ad-073e-4d70-bd27-f22f4b64c260,,Hepatitis C test,,,,,,,,,,LabTest,Numeric,
3d623762-36af-4742-b503-d2d191574caa,,CRAG Test,,,,,,,,,,LabTest,Numeric,
3094247e-86c6-4c66-89d0-39316a7832cb,,Viral load,,,,,,,,,,LabTest,Numeric,
